days,hour,season,holiday,weather,temp,atemp,humidity,windspeed,real
345,3,4,0,1,7.38,12.12,74,0,11
37,4,1,0,1,8.2,12.88,86,0,9
260,0,3,0,3,24.6,25.76,94,16.9979,32
280,3,4,1,1,13.94,17.425,81,7.0015,30
352,3,4,0,1,10.66,13.635,75,8.9981,15
319,2,4,0,2,18.86,22.725,94,7.0015,25
249,1,3,0,3,22.14,25.76,94,16.9979,23
286,3,4,0,1,22.96,26.515,94,8.9981,21
192,1,3,0,1,28.7,33.335,79,6.0032,32
252,3,3,0,1,23.78,27.275,100,8.9981,50
319,0,4,0,2,18.86,22.725,94,0,50
77,4,1,0,1,18.04,21.97,94,0,13
335,2,4,0,1,9.84,14.395,75,0,23
340,1,4,0,2,18.86,22.725,100,16.9979,30
74,1,1,0,3,12.3,13.635,100,19.9995,19
135,4,2,0,1,20.5,24.24,100,8.9981,17
315,2,4,1,1,16.4,20.455,76,8.9981,42
342,1,4,0,1,9.84,14.395,65,0,28
347,2,4,0,1,9.02,13.635,69,0,21
192,2,3,0,1,28.7,33.335,79,7.0015,25
213,2,3,0,1,27.06,30.305,83,6.0032,26
138,4,2,0,1,19.68,23.485,94,0,15
349,3,4,0,1,18.86,22.725,82,8.9981,17
276,1,4,0,2,25.42,27.275,94,0,42
156,2,2,0,1,23.78,27.275,88,7.0015,23
59,2,1,0,1,9.84,10.605,65,26.0027,15
251,4,3,0,3,25.42,27.275,94,11.0014,13
251,1,3,0,2,25.42,25.76,100,11.0014,26
59,1,1,0,1,10.66,11.365,70,23.9994,17
249,3,3,0,3,22.96,26.515,94,8.9981,15
342,3,4,0,1,9.02,13.635,80,0,17
291,4,4,0,3,20.5,24.24,94,12.998,13
291,2,4,0,2,22.14,25.76,88,0,25
187,4,3,0,1,26.24,28.79,89,7.0015,15
249,0,3,0,2,22.14,25.76,94,15.0013,32
191,4,3,0,1,26.24,28.79,89,8.9981,19
128,2,2,0,3,22.96,26.515,88,30.0026,15
33,1,1,0,1,8.2,7.575,44,35.0008,17
135,1,2,0,1,21.32,25,94,8.9981,30
251,2,3,0,2,25.42,25.76,100,16.9979,23
340,14,4,0,3,18.04,21.97,100,12.998,84
187,2,3,0,1,27.06,29.545,89,12.998,23
42,3,1,0,1,4.92,9.85,80,0,19
135,4,2,0,1,22.14,25.76,94,8.9981,15
350,2,4,0,2,15.58,19.695,94,0,19
313,2,4,0,2,15.58,19.695,94,0,19
255,0,3,0,1,24.6,27.275,88,7.0015,46
313,4,4,0,1,15.58,19.695,94,6.0032,13
168,4,2,0,1,24.6,27.275,88,6.0032,15
220,3,3,0,1,27.88,31.82,83,6.0032,19
0,4,1,0,1,9.84,14.395,75,0,9
290,0,4,0,1,19.68,23.485,82,0,50
282,1,4,0,2,18.86,22.725,88,0,25
311,3,4,0,1,13.12,17.425,87,0,15
280,1,4,1,1,13.94,16.665,87,11.0014,61
218,4,3,0,1,28.7,33.335,84,8.9981,17
159,1,2,0,1,30.34,35.605,79,7.0015,34
218,3,3,0,1,28.7,33.335,84,0,21
315,1,4,1,1,16.4,20.455,76,11.0014,53
135,3,2,0,1,22.96,26.515,88,7.0015,19
336,3,4,0,1,15.58,19.695,87,0,19
347,1,4,0,1,9.02,12.88,69,6.0032,40
45,3,1,0,1,11.48,15.91,75,0,13
218,2,3,0,1,28.7,33.335,84,8.9981,28
248,3,3,0,1,28.7,33.335,84,7.0015,23
121,4,2,0,1,22.14,25.76,88,0,15
309,2,4,0,1,9.84,12.88,65,6.0032,13
121,2,2,0,1,22.96,26.515,83,0,30
138,0,2,0,1,21.32,25,94,7.0015,48
36,2,1,0,1,9.02,13.635,75,0,15
151,3,2,0,1,27.88,31.82,89,12.998,19
219,3,3,0,1,28.7,33.335,84,0,21
282,4,4,1,1,18.86,22.725,94,0,26
248,2,3,0,1,29.52,34.85,79,0,25
340,13,4,0,3,18.04,21.97,100,12.998,92
248,0,3,0,3,22.14,25.76,94,23.9994,26
131,4,2,0,1,17.22,21.21,94,0,17
352,1,4,0,1,12.3,15.91,65,6.0032,28
246,2,3,0,1,27.88,31.82,82,8.9981,21
290,1,4,0,2,18.86,22.725,88,0,28
188,3,3,0,1,27.88,31.82,79,7.0015,19
342,2,4,0,1,9.84,14.395,70,0,25
252,4,3,0,1,23.78,27.275,94,6.0032,19
64,4,1,0,2,17.22,21.21,88,23.9994,11
347,3,4,0,1,8.2,11.365,69,7.0015,21
225,4,3,0,3,26.24,28.03,94,12.998,13
306,2,4,0,1,13.94,16.665,76,8.9981,19
306,3,4,0,1,13.94,16.665,81,8.9981,15
167,0,2,0,1,22.96,26.515,88,6.0032,44
275,2,4,0,1,14.76,18.18,76,7.0015,17
247,2,3,0,1,28.7,33.335,84,12.998,25
219,1,3,0,1,27.88,31.82,83,8.9981,30
340,4,4,0,3,18.86,22.725,100,11.0014,11
284,4,4,0,3,22.14,25.76,94,26.0027,17
336,4,4,0,1,14.76,18.94,93,0,15
255,1,3,0,1,23.78,27.275,83,7.0015,26
309,3,4,0,1,9.84,14.395,87,0,19
91,4,2,0,1,16.4,20.455,76,32.9975,11
167,4,2,0,1,22.14,25.76,94,8.9981,17
195,5,3,0,1,27.88,31.82,89,8.9981,17
336,2,4,0,1,17.22,21.21,77,11.0014,23
218,1,3,0,1,28.7,33.335,84,8.9981,36
196,3,3,0,1,27.88,31.82,79,6.0032,19
49,8,1,0,1,15.58,19.695,17,39.0007,73
9,0,1,0,1,4.92,6.06,50,19.0012,19
249,4,3,0,3,22.96,26.515,94,11.0014,15
275,4,4,0,2,24.6,25,100,0,23
219,1,3,0,1,29.52,34.85,79,0,42
249,2,3,0,2,22.14,25.76,94,15.0013,21
212,3,3,0,1,26.24,28.79,83,7.0015,21
315,4,4,0,1,8.2,10.605,80,8.9981,13
17,12,1,0,2,8.2,9.09,86,22.0028,30
315,5,4,1,1,15.58,19.695,87,0,40
16,2,1,1,2,7.38,8.335,43,16.9979,28
158,1,2,0,1,27.06,30.305,78,0,40
279,3,4,0,1,16.4,20.455,87,0,23
352,4,4,0,1,9.84,12.12,75,8.9981,13
42,3,1,0,2,4.1,2.275,46,46.0022,19
338,4,4,0,1,12.3,15.91,87,7.0015,15
190,3,3,0,1,27.88,31.82,79,0,17
9,1,1,0,1,4.92,6.06,50,19.0012,13
94,4,2,0,3,20.5,24.24,88,32.9975,11
186,3,3,0,1,28.7,33.335,79,0,21
277,4,4,0,1,18.04,21.97,88,0,15
212,2,3,0,1,26.24,28.79,83,7.0015,28
343,2,4,0,2,15.58,19.695,94,7.0015,19
277,2,4,0,1,18.86,22.725,82,11.0014,17
106,2,2,0,1,22.96,26.515,83,7.0015,19
313,4,4,0,1,10.66,13.635,87,7.0015,13
280,3,4,0,1,18.04,21.97,88,0,32
285,4,4,0,2,22.14,25.76,100,7.0015,17
277,3,4,0,1,18.86,22.725,82,7.0015,17
37,1,1,0,1,9.02,13.635,75,0,21
68,21,1,0,3,14.76,17.425,0,15.0013,86
42,1,1,0,3,3.28,2.275,79,31.0009,34
168,3,2,0,1,24.6,27.275,88,6.0032,32
1,2,1,0,2,17.22,21.21,100,19.0012,23
254,4,3,0,1,22.14,25.76,94,7.0015,15
340,21,4,0,3,12.3,12.88,87,35.0008,63
283,3,4,0,2,21.32,25,88,7.0015,15
319,3,4,0,2,18.86,22.725,94,7.0015,17
42,2,1,0,1,5.74,10.605,80,0,26
124,4,2,0,1,22.96,26.515,88,7.0015,19
289,3,4,0,1,14.76,18.94,87,0,19
314,5,4,1,1,12.3,14.395,49,16.9979,26
340,23,4,0,1,9.84,10.605,93,26.0027,73
247,1,3,0,1,28.7,33.335,84,12.998,30
280,5,4,1,1,13.94,15.91,76,15.0013,34
282,2,4,0,2,18.86,22.725,88,0,23
121,3,2,0,1,22.96,26.515,83,6.0032,19
106,3,2,0,1,22.96,26.515,83,6.0032,19
213,3,3,0,1,27.06,30.305,83,0,19
44,10,1,0,1,18.04,21.97,33,15.0013,86
2,1,1,0,1,8.2,8.335,44,27.9993,15
212,4,3,0,1,27.06,30.305,83,8.9981,15
102,1,2,0,2,16.4,20.455,100,19.9995,17
12,0,1,0,1,5.74,6.06,59,19.0012,21
212,3,3,0,1,28.7,33.335,79,11.0014,17
219,4,3,0,1,27.06,29.545,89,7.0015,21
59,2,1,0,2,18.86,22.725,94,19.0012,21
187,1,3,0,1,27.06,29.545,89,12.998,34
283,0,4,0,2,22.14,25.76,88,0,50
334,4,4,0,1,10.66,14.395,81,6.0032,13
100,1,2,0,1,18.86,22.725,94,19.0012,21
135,3,2,0,1,20.5,24.24,94,11.0014,17
346,4,4,0,1,8.2,12.88,80,0,11
167,1,2,0,1,22.96,26.515,94,8.9981,40
131,3,2,0,1,18.04,21.97,88,8.9981,17
197,2,3,0,1,29.52,34.09,70,6.0032,23
256,1,3,0,1,25.42,29.545,78,6.0032,26
352,5,4,0,1,5.74,8.335,93,7.0015,25
340,19,4,0,3,13.94,14.395,87,43.0006,88
342,4,4,0,1,9.02,13.635,80,0,9
336,4,4,0,1,9.02,11.365,75,8.9981,15
5,1,1,0,1,9.02,13.635,75,0,23
12,1,1,0,1,5.74,6.06,50,19.0012,13
190,4,3,0,1,27.88,31.82,79,8.9981,15
192,4,3,0,1,28.7,33.335,79,11.0014,17
39,4,1,0,2,9.02,9.85,75,30.0026,7
181,4,3,0,1,28.7,33.335,79,12.998,15
256,2,3,0,1,24.6,28.03,83,0,21
218,4,3,0,1,27.88,31.82,83,8.9981,21
77,3,1,0,1,18.86,22.725,88,6.0032,15
274,3,4,0,2,22.14,25.76,88,12.998,17
310,4,4,0,1,13.12,17.425,93,0,15
42,1,1,0,1,5.74,10.605,86,0,38
0,3,1,0,1,9.84,14.395,75,0,23
313,1,4,0,2,16.4,20.455,87,0,28
10,1,1,0,1,9.84,12.88,87,6.0032,23
340,20,4,0,3,13.94,14.395,87,43.0006,82
128,1,2,0,1,18.04,21.97,88,0,50
290,3,4,0,1,18.04,21.97,88,15.0013,17
17,2,1,0,2,18.04,21.97,51,32.9975,13
347,4,4,0,1,8.2,11.365,75,6.0032,17
256,3,3,0,1,24.6,27.275,88,8.9981,21
349,2,4,0,1,19.68,23.485,77,7.0015,36
16,3,1,1,2,7.38,9.09,43,12.998,19
45,0,1,0,1,12.3,13.635,49,27.9993,34
249,2,3,0,1,25.42,28.79,83,6.0032,26
65,1,1,0,1,12.3,13.635,61,19.9995,19
156,3,2,0,1,18.86,22.725,82,0,21
12,2,1,0,1,5.74,6.06,50,23.9994,11
68,20,1,0,3,14.76,16.665,0,22.0028,96
212,2,3,0,1,28.7,33.335,74,7.0015,26
158,4,2,0,1,25.42,28.79,83,0,17
351,4,4,0,1,17.22,21.21,82,11.0014,17
102,2,2,0,3,16.4,20.455,100,19.9995,17
0,0,1,0,1,9.84,14.395,81,0,32
2,0,1,0,1,9.02,9.85,44,23.9994,19
336,3,4,0,1,9.84,12.12,70,8.9981,19
135,0,2,0,1,21.32,25,94,7.0015,57
163,2,2,0,1,25.42,28.79,83,8.9981,19
280,4,4,0,1,17.22,21.21,94,8.9981,19
43,1,1,0,1,4.92,6.06,50,15.0013,17
350,1,4,0,2,15.58,19.695,87,7.0015,30
291,3,4,0,2,22.96,26.515,83,0,19
345,4,4,0,1,7.38,12.12,74,0,11
276,3,4,0,1,16.4,20.455,82,7.0015,17
335,4,4,0,1,9.02,13.635,80,0,11
11,2,1,0,1,5.74,7.575,86,8.9981,13
249,1,3,0,1,25.42,28.03,88,7.0015,46
219,4,3,0,1,28.7,33.335,84,0,19
3,0,1,0,1,3.28,3.03,42,22.0028,23
34,4,1,0,1,9.84,12.88,81,6.0032,13
251,3,3,0,2,25.42,27.275,94,16.9979,15
276,2,4,0,2,16.4,20.455,87,0,17
59,3,1,0,1,9.02,10.605,69,19.0012,11
38,3,1,0,1,10.66,15.15,65,0,11
68,23,1,0,3,13.94,17.425,0,6.0032,86
39,3,1,0,1,9.02,10.605,80,19.0012,13
163,1,2,0,1,26.24,29.545,78,0,46
128,3,2,0,1,18.86,22.725,82,6.0032,19
159,11,2,0,1,36.9,42.425,42,15.0013,151
342,0,4,0,1,9.84,14.395,65,0,50
13,2,1,0,1,4.1,6.06,54,8.9981,11
42,2,1,0,2,4.1,3.03,58,39.0007,34
282,3,4,1,1,18.86,22.725,88,0,32
216,1,3,0,1,26.24,29.545,78,6.0032,36
159,14,2,0,1,37.72,43.94,40,12.998,176
161,3,2,0,1,26.24,29.545,78,7.0015,19
16,6,1,1,2,7.38,9.09,43,12.998,38
43,0,1,0,1,5.74,6.82,46,15.0013,23
59,0,1,0,2,17.22,21.21,94,0,30
33,0,1,0,1,8.2,8.335,40,30.0026,26
337,0,4,0,1,17.22,21.21,88,7.0015,73
215,3,3,0,1,29.52,35.605,84,8.9981,44
188,1,3,0,1,29.52,34.85,79,0,51
5,12,1,0,1,10.66,14.395,35,0,109
157,4,2,0,1,18.86,22.725,88,7.0015,15
131,2,2,0,1,18.04,21.97,94,12.998,28
151,2,2,0,1,28.7,33.335,79,11.0014,19
291,1,4,0,3,22.14,25.76,88,0,34
185,2,3,0,1,27.06,31.06,74,6.0032,28
341,1,4,0,1,10.66,11.365,81,23.9994,21
64,1,1,0,1,8.2,9.85,44,16.9979,19
260,3,3,0,2,25.42,27.275,94,19.0012,19
199,3,3,0,1,29.52,34.09,70,7.0015,19
213,1,3,0,1,27.06,31.06,74,7.0015,30
276,3,4,0,2,25.42,28.03,88,0,25
13,1,1,0,1,4.1,6.06,54,11.0014,17
319,4,4,0,2,18.04,21.97,100,15.0013,13
309,3,4,0,1,9.02,12.12,64,7.0015,13
181,3,3,0,1,29.52,35.605,84,8.9981,46
60,1,1,0,1,9.02,11.365,69,12.998,17
60,3,1,0,1,9.02,10.605,69,19.0012,13
64,19,1,0,3,12.3,12.88,100,32.9975,69
9,2,1,0,1,4.92,6.06,50,15.0013,13
286,4,4,0,1,22.96,26.515,94,12.998,19
38,2,1,0,1,10.66,15.15,65,0,13
282,3,4,0,2,18.86,22.725,88,0,19
161,3,2,0,1,27.88,31.82,83,6.0032,40
66,3,1,0,1,18.86,22.725,63,26.0027,13
16,5,1,1,2,7.38,9.85,43,11.0014,15
38,4,1,0,1,10.66,12.88,93,11.0014,11
64,0,1,0,1,9.02,10.605,37,19.9995,23
196,2,3,0,1,28.7,33.335,74,7.0015,30
65,3,1,0,1,12.3,13.635,56,23.9994,11
216,3,3,0,1,26.24,29.545,78,6.0032,19
290,1,4,0,1,18.86,22.725,82,15.0013,30
1,0,1,0,2,18.86,22.725,88,19.9995,36
309,5,4,0,1,9.84,12.12,87,8.9981,11
0,4,1,0,1,11.48,15.15,81,6.0032,15
281,4,4,0,1,18.04,21.97,88,0,23
48,4,1,0,1,10.66,15.15,70,0,15
10,1,1,0,1,5.74,7.575,59,11.0014,15
34,3,1,0,1,9.84,14.395,75,0,28
309,4,4,0,1,9.84,14.395,87,0,15
43,2,1,0,1,5.74,6.82,46,12.998,13
1,3,1,0,2,18.86,22.725,94,12.998,19
64,21,1,0,3,9.84,9.09,93,40.9973,63
43,3,1,0,1,4.92,7.575,54,7.0015,9
215,4,3,0,1,29.52,34.85,79,12.998,25
289,1,4,0,1,15.58,19.695,76,0,32
36,4,1,0,1,7.38,10.605,80,7.0015,9
305,3,4,0,1,12.3,16.665,75,0,13
68,22,1,0,2,13.94,16.665,0,8.9981,92
255,2,3,0,1,24.6,28.79,78,0,17
60,2,1,0,1,9.02,11.365,69,12.998,13
13,3,1,0,1,4.1,6.82,54,7.0015,9
213,0,3,0,1,27.06,31.06,74,0,50
64,20,1,0,3,11.48,12.12,100,27.9993,69
18,1,1,0,1,5.74,7.575,50,11.0014,17
10,11,1,0,2,8.2,10.605,47,8.9981,65
276,1,4,0,2,16.4,20.455,87,7.0015,25
192,0,3,0,1,28.7,33.335,79,8.9981,42
273,3,4,0,1,18.04,21.97,77,0,19
9,3,1,0,1,4.92,6.06,50,15.0013,7
157,3,2,0,1,24.6,29.545,73,6.0032,15
5,2,1,0,1,6.56,11.365,64,0,13
347,3,4,0,1,11.48,15.91,65,0,13
249,4,3,0,1,25.42,28.03,88,0,19
3,2,1,0,1,5.74,7.575,63,8.9981,11
66,4,1,0,1,9.02,13.635,64,0,9
304,1,4,0,1,12.3,15.91,75,7.0015,44
339,2,4,0,2,18.86,22.725,87,12.998,17
337,4,4,0,1,10.66,15.15,87,0,19
219,0,3,0,1,28.7,33.335,79,7.0015,50
5,15,1,0,1,11.48,13.635,36,0,117
65,0,1,0,1,11.48,12.88,65,19.0012,30
340,4,4,0,1,10.66,13.635,75,7.0015,17
66,2,1,0,1,18.86,22.725,63,26.0027,23
33,2,1,0,1,7.38,8.335,43,16.9979,13
12,3,1,0,1,5.74,6.06,50,22.0028,9
281,3,4,0,1,18.04,21.97,88,0,42
1,1,1,0,2,18.04,21.97,94,16.9979,32
187,0,3,0,1,27.06,29.545,89,8.9981,55
230,3,3,0,1,26.24,29.545,78,0,17
17,1,1,0,2,18.86,22.725,77,22.0028,25
60,0,1,0,1,9.02,11.365,69,11.0014,25
74,3,1,0,2,16.4,20.455,87,19.0012,15
73,4,1,0,1,9.84,12.88,75,6.0032,9
284,3,4,0,1,14.76,18.18,76,6.0032,17
41,2,1,0,1,4.1,6.82,54,6.0032,13
212,1,3,0,1,27.06,30.305,83,6.0032,50
36,4,1,0,1,10.66,11.365,60,23.9994,7
312,4,4,0,1,13.12,17.425,87,0,13
284,2,4,0,2,22.96,26.515,83,19.0012,17
165,2,2,0,1,22.96,26.515,83,7.0015,30
220,1,3,0,1,29.52,34.09,66,0,32
279,4,4,0,1,16.4,20.455,87,7.0015,15
157,2,2,0,1,24.6,29.545,73,6.0032,21
34,5,1,0,1,9.84,12.88,81,6.0032,9
306,0,4,0,1,14.76,18.18,76,6.0032,48
59,4,1,0,1,9.02,10.605,69,16.9979,7
335,0,4,0,1,10.66,14.395,70,6.0032,53
1,4,1,0,2,18.86,22.725,94,12.998,13
75,2,1,0,1,13.94,15.15,71,19.9995,19
340,15,4,0,3,17.22,21.21,94,15.0013,88
5,13,1,0,1,10.66,13.635,35,7.0015,121
311,4,4,0,1,12.3,16.665,87,0,13
18,2,1,0,1,5.74,7.575,50,8.9981,13
189,4,3,0,3,27.06,29.545,89,26.0027,13
228,3,3,0,1,26.24,29.545,78,0,19
290,2,4,0,1,18.86,22.725,82,12.998,28
160,4,2,0,1,25.42,29.545,78,6.0032,21
339,11,4,0,3,18.86,22.725,94,16.9979,67
65,2,1,0,1,12.3,14.395,56,19.0012,15
74,3,1,0,2,11.48,13.635,100,15.0013,13
350,0,4,0,2,15.58,19.695,87,0,46
12,5,1,0,2,12.3,12.12,70,36.9974,25
102,0,2,0,2,16.4,20.455,100,19.9995,34
2,1,1,0,1,7.38,9.09,55,15.0013,19
275,3,4,0,1,14.76,18.94,81,0,19
43,4,1,0,1,4.92,8.335,54,6.0032,7
306,4,4,0,1,13.12,16.665,81,6.0032,13
305,4,4,0,1,12.3,16.665,87,0,13
246,1,3,0,1,27.88,31.82,82,8.9981,42
10,2,1,0,1,8.2,10.605,85,11.0014,17
137,4,2,0,3,21.32,25,94,19.9995,13
3,1,1,0,1,6.56,9.09,59,7.0015,15
309,2,4,0,1,10.66,15.15,81,0,42
32,4,1,0,3,9.02,10.605,93,19.0012,9
198,2,3,0,1,27.06,30.305,83,15.0013,25
70,4,1,0,1,9.84,11.365,65,16.9979,7
17,3,1,0,2,18.04,21.97,51,32.9975,13
42,4,1,0,1,4.92,8.335,74,6.0032,11
100,4,2,0,1,18.86,22.725,94,12.998,11
347,4,4,0,1,10.66,15.15,75,0,11
3,1,1,0,1,1.64,1.515,38,19.9995,15
63,3,1,0,1,9.02,11.365,51,11.0014,9
226,4,3,0,1,26.24,28.79,83,7.0015,15
350,3,4,0,2,14.76,18.94,93,0,15
64,2,1,0,1,8.2,9.85,44,15.0013,15
2,3,1,0,1,6.56,6.82,55,19.0012,9
39,2,1,0,1,9.02,11.365,80,8.9981,15
217,5,3,0,1,26.24,28.79,89,6.0032,15
136,3,2,0,3,22.14,25.76,94,16.9979,17
273,1,4,0,1,18.04,21.97,77,6.0032,34
220,2,3,0,1,29.52,34.09,70,0,28
156,1,2,0,1,24.6,28.03,83,8.9981,30
2,2,1,0,1,7.38,8.335,51,16.9979,13
167,5,2,0,1,22.14,25.76,100,0,21
282,2,4,1,1,19.68,23.485,88,0,44
340,12,4,0,3,18.04,21.97,100,8.9981,63
67,4,1,0,1,9.84,12.88,75,7.0015,9
41,1,1,0,1,4.1,6.82,54,6.0032,19
